smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
N=c1n(N)c([N+](=O)[O-])c(N)n1[N+](=O)[O-],299.0171559,1.824289538,8037.754844,29.99110816,4642.627358,3522.334684,720.1132283,123.293414,203.7842253
N=c1onc([N+](=O)[O-])n1N,298.9915067,1.825789303,8305.698552,29.5511284,5403.107231,3792.940762,709.7387617,155.8671992,159.6431433
Nn1c([N+](=O)[O-])n[nH]c1=O,298.7115289,1.874178484,8287.661478,31.53163415,4300.016059,3322.487817,729.1666449,-14.5601687,207.9879139
Nn1cc([N+](=O)[O-])n(N)c1=NN[N+](=O)[O-],298.6649798,1.793161476,8054.97234,29.77907506,5127.204948,3836.556699,761.9032493,202.6279985,182.8526092
Nc1c([N+](=O)[O-])n(N)c(=NN[N+](=O)[O-])n1N,298.2402224,1.800777984,8177.285823,30.2238057,4793.082762,3717.40597,779.5441016,217.162266,194.5129589
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,297.7260594,1.92021592,8459.797342,33.92652017,5604.806041,3776.615712,674.8123378,618.7063588,250.2456932
Nc1c([N+](=O)[O-])o[n-][n+]1=O,297.5373201,1.842490378,9018.377724,34.87471089,6677.107214,4494.094909,674.1446419,173.9881873,159.1107988
Nc1[n-][n+](=O)ncc1[N+](=O)[O-],297.4697524,1.773709222,8127.524061,28.44850856,5690.202904,3870.34904,682.5488294,139.098828,195.3958784
Nc1c2[n-]o[n-]c-2c([N+](=O)[O-])[n+](=O)[n+]1=O,297.1471161,1.955862729,8827.543425,35.5456761,6464.866859,4086.679759,617.5664677,452.3787754,206.6197066
NN=c1[nH]c([N+](=O)[O-])no1,296.9936437,1.868350712,8143.740424,30.71138632,5104.169074,3472.187485,720.6614062,116.8004341,188.5302314
Nn1nnnc1[N+](=O)[O-],296.7538208,1.808849222,8727.881082,33.36458472,6331.117785,4602.955908,740.7105929,452.7296415,129.7885916
Nc1[n-][n+](=O)cnc1[N+](=O)[O-],296.0847519,1.81230616,8107.046439,28.15978442,5193.424583,3595.130356,686.5594169,102.0103437,193.2963342
Nn1nc([N+](=O)[O-])n2ncc([N+](=O)[O-])c12,294.8924243,1.818716427,8218.744209,31.45735948,5986.684225,3878.691019,666.3415177,323.1947778,222.5661322
N=c1[nH]c([N+](=O)[O-])no1,294.8445674,1.844742233,8187.817881,29.29016774,5018.896314,3230.47019,670.8217902,24.18176171,167.1151746
O=c1o[n-][nH+]c1[N+](=O)[O-],294.5281634,1.869113755,8713.453605,32.89789534,6289.164658,4079.605964,624.2160363,79.59485934,112.1590961
O=[N+]([O-])c1cnn2c([N+](=O)[O-])n[nH]c12,294.0150507,1.889274696,8148.776401,31.43830992,5668.209218,3485.43994,620.1479585,301.0148585,273.8667982
NC1=C([N+](=O)[O-])NC([N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,293.7472501,1.8838894,8064.005578,30.74515405,5187.215169,3347.675102,620.12358,387.502255,203.3572013
NN=c1[nH]nc([N+](=O)[O-])o1,293.5754077,1.872832838,8243.789521,32.29335376,4862.880895,3464.821009,718.4824952,85.77850177,220.8103656
Nc1c([N+](=O)[O-])nc2nnc(N)n2c1[N+](=O)[O-],293.3961606,1.870598337,8178.079031,30.54516015,5100.597759,3354.488159,666.7486649,277.3942007,297.8727193
NN=c1c(N)c([N+](=O)[O-])nc([N+](=O)[O-])n1N,293.2827803,1.811246664,8032.231484,28.67549686,4644.616363,3438.519155,723.8817772,173.9780246,222.2272412
NN=c1n(N)c([N+](=O)[O-])c(N)n1[N+](=O)[O-],293.0801893,1.817967918,8119.392541,30.22089139,4647.265008,3582.271195,748.5244018,170.1734308,203.5687813
N=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])[nH]1,292.3713322,1.864912031,8205.625813,31.50389626,4874.832656,3169.959201,670.5145352,-16.0455252,290.7709441
O=[N+]([O-])c1n[nH]c2c([N+](=O)[O-])n[nH]c12,291.8399618,1.9246355,8299.13314,32.68343565,5318.313305,3526.138931,620.7209008,295.4722084,312.4567458
Nn1nc([N+](=O)[O-])[nH]c1=O,290.7135968,1.877744821,8058.786529,29.95525659,4174.566888,3100.094107,730.6822154,-67.74845595,188.5983351
Nc1c2nnn(N)nc-2c([N+](=O)[O-])c1[N+](=O)[O-],290.5471066,1.854993164,8033.487827,29.88649164,5578.783908,3477.279653,661.0846074,405.8547229,294.0117702
Nc1nc(N)[n+](=O)[n-]c1[N+](=O)[O-],290.0420691,1.811623992,8065.922674,28.4740603,5010.568901,3420.419298,727.1499969,78.03986647,206.7409982
O=[N+]([O-])C1=NNC([N+](=O)[O-])=NN1,289.7743362,1.912228014,8767.075929,36.35019965,5466.321655,3785.896672,688.8311828,189.3612987,236.5806831
Nn1c([N+](=O)[O-])c[nH]c1=NN[N+](=O)[O-],289.4383205,1.828473076,8218.277134,31.12620655,5105.181459,3773.420123,732.4097545,131.9809609,189.6149104
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])n[nH]c12,288.0379407,1.902941532,8046.832637,31.41140931,5035.571161,3297.330544,660.2578431,237.0895119,245.4529465
Nc1c2nn(N)nnc-2c([N+](=O)[O-])c1[N+](=O)[O-],287.3980484,1.852933137,8030.758124,29.93115433,5635.481719,3474.870551,660.2494832,413.5279928,297.2269016
Nc1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1N,286.767569,1.867284528,8188.619576,31.01917878,5145.993055,3315.645563,665.5289317,307.2769664,242.156398
Nc1nc([N+](=O)[O-])n2c(N)c([N+](=O)[O-])nc2n1,286.6883326,1.840208083,8005.22937,29.62933202,4614.545915,3100.242025,674.1709409,195.1470769,280.5683486
N=c1oc([N+](=O)[O-])nn1N,285.9811087,1.827085456,8242.007909,30.15954436,5060.079149,3540.103201,719.4516245,41.11138539,177.6010931
Nn1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c21,285.3359369,1.907128433,8402.206855,32.51717537,5666.062792,3843.495191,666.4494893,271.1023476,197.741205
Nc1c2nn[nH]nc-2c([N+](=O)[O-])c1[N+](=O)[O-],285.0787646,1.905529862,8200.115487,31.49084754,5387.037767,3386.864398,631.3080131,407.8376967,293.9003476
Nc1[n-]o[n+](=O)c1[N+](=O)[O-],284.7172318,1.861684917,8910.182559,33.97667383,6566.80988,4423.411487,668.4638661,197.9758499,108.4531759
Nc1c([N+](=O)[O-])c(=O)[nH]c2nnc([N+](=O)[O-])n12,284.3639361,1.920013463,8113.760369,31.12748038,4625.683673,3066.976144,645.6495472,69.32323262,274.7307574
Nn1c([N+](=O)[O-])nnc1[N+](=O)[O-],283.7593766,1.861663876,8943.343933,36.26656816,6234.450045,4449.426458,695.9784147,303.556544,153.4140257
N=c1onc(N)n1[N+](=O)[O-],282.8436613,1.848697249,8198.975534,30.1950958,4954.672562,3491.438841,699.2794863,101.0834287,138.1810725
Nn1c([N+](=O)[O-])nc2noc([N+](=O)[O-])c21,282.6221984,1.835858278,8418.263182,32.98028539,6184.522555,3870.060123,624.4494025,303.4939472,160.7910391
Nc1n[n+](=O)[n-]cc1[N+](=O)[O-],282.5606499,1.765154782,8192.711099,28.81217925,5597.610989,3896.318232,691.581959,154.608545,192.9612481
N=c1[nH]c([N+](=O)[O-])cn1[N+](=O)[O-],282.0939541,1.835284242,8187.894262,30.36119578,5064.375058,3398.847143,664.5700912,22.85885631,194.4522284
Nc1c([N+](=O)[O-])[n-]o[n+]1=O,281.6358008,1.847208473,9020.546696,34.41655297,6615.350843,4488.296216,673.8854793,173.4500711,121.7920176
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn(N)c21,281.5821938,1.839492762,8318.47384,31.68977224,5680.705075,4016.861461,683.9980044,305.106236,236.4473066
Nc1c2n[nH]nnc-2c([N+](=O)[O-])c1[N+](=O)[O-],281.1111053,1.893709751,8126.480796,30.85327149,5396.338132,3320.99735,630.6574613,403.4463341,298.3449352
