smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
NC1=NC(=C([N+](=O)[O-])[N+](=O)[O-])N(N)N1N,186.1354183,1.821862089,8388.342535,30.60291419,5056.106487,3590.711854,742.7701063,164.1693742,156.3119663
O=[N+]([O-])NN=c1[nH]nn[nH]1,186.1214543,1.863310061,8652.205328,34.87075126,5221.501593,4104.066886,781.4231757,348.2895996,162.551844
Nn1c([N+](=O)[O-])nc2nnn([N+](=O)[O-])c2c1=O,186.086313,1.850720002,8225.08654,32.58433397,5521.621018,3623.625947,646.128646,228.4793837,153.9435956
Nc1c([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,186.0782609,1.891516825,8422.406535,32.96350385,5934.232499,3758.865404,637.0298241,542.3102097,167.3382404
Nc1nc([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],186.0634843,1.873927221,8335.576159,32.70857813,5507.320782,3491.515444,629.9183733,261.9193948,192.9323047
O=[N+]([O-])c1cc([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])n1,186.0587152,1.844182586,8274.821326,31.87088029,6171.03082,3634.483847,586.709111,337.8164241,176.3429065
O=[N+]([O-])c1cc2c(nnn2[N+](=O)[O-])nc1[N+](=O)[O-],186.0396649,1.884283792,8430.017332,32.7257553,6282.945157,3722.545647,592.0030601,306.4754306,197.123152
O=[N+]([O-])N=Cn1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])c21,186.0014718,1.870443819,8309.112651,33.44589704,6171.462428,3724.47122,596.2763004,455.3900379,182.1593478
Nc1[nH]c(=O)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c1[N+](=O)[O-],185.981576,1.890916688,8284.81296,33.74386033,5025.510437,3563.388107,685.1814069,6.468479823,138.0219572
O=[N+]([O-])N=Cc1nc2c3nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],185.9759877,1.853004069,8164.426879,30.77443351,5696.739692,3418.348859,594.0791164,464.8482949,168.4785586
Nc1c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n([N+](=O)[O-])c1=O,185.9500083,1.925814916,8645.519283,35.70402052,5550.360266,3544.941448,634.5350309,187.9109377,184.7663052
O=[N+]([O-])N=Cn1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])nc21,185.9454439,1.859376267,8292.575004,33.50896299,6195.148313,3718.369977,591.6128065,462.0851236,184.8767668
N=c1c([N+](=O)[O-])c([N+](=O)[O-])n(N)c(=O)n1[N+](=O)[O-],185.9354497,1.890597169,8584.496208,35.39825904,5467.014613,3690.977155,653.4772896,27.26075295,143.5855376
Nc1nn2c([N+](=O)[O-])nc([N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],185.9330387,1.902457554,8450.049399,34.20380708,5214.531669,3397.239582,626.9939197,128.172383,161.0925491
Nc1c(=O)o[n-][n+]1[N+](=O)[O-],185.9241015,1.852773811,8860.091025,32.5913358,6272.088923,4135.219906,680.3969288,50.72343327,118.3484918
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])ncn12,185.8744875,1.872468127,8235.563737,31.83539365,5854.548486,3386.747203,592.6066951,123.4598322,167.4567281
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c1nnn1c([N+](=O)[O-])c([N+](=O)[O-])nc21,185.8547238,1.892856976,8863.286287,36.20368127,6445.510813,4198.053322,624.8865169,642.2319398,149.7430794
Nc1nc2c(c(=NN[N+](=O)[O-])[nH]1)n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],185.8509719,1.867742693,8240.480294,32.53548825,4781.969611,3409.212968,684.3109374,123.3113759,135.5479481
O=[N+]([O-])NN=c1c2nc[nH]c2nc([N+](=O)[O-])n1N[N+](=O)[O-],185.8426753,1.8613791,8160.873356,31.70739107,5314.470249,3530.939435,672.4961034,259.5342688,131.7409244
N=C1N=C2N(N)C([N+](=O)[O-])=C([N+](=O)[O-])N2C1=NN[N+](=O)[O-],185.8400728,1.847284684,8285.587073,31.35834647,5310.709418,3437.337341,659.6026571,423.4581903,214.4920786
O=[N+]([O-])N=CN=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],185.8237175,1.850063575,8310.910023,33.31458454,5513.429018,3523.577639,626.804501,335.311608,161.1161676
NN=c1[nH]nnn1C=N[N+](=O)[O-],185.812792,1.811503458,8128.146624,30.42355233,4911.977875,3926.657807,789.6323851,487.9465702,200.2990117
O=[N+]([O-])NN=c1[nH]cno1,185.7990129,1.76905396,8117.685794,30.24711331,5327.673888,3726.608394,713.9852221,100.6858345,162.4721209
O=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])n(N[N+](=O)[O-])c12,185.7953535,1.925950995,8357.488648,33.05508018,5404.57094,3362.897891,632.9040129,75.12673641,146.0259839
O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])no1,185.7877703,1.942406809,8901.172054,38.04210234,6039.319048,4066.086871,661.1723253,82.72483285,117.7777889
O=c1c([N+](=O)[O-])cn2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],185.7543068,1.885829436,8324.636131,33.76975654,5966.006761,3589.662087,594.4352253,207.7886869,168.9784134
Nc1c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n(C=N[N+](=O)[O-])c1=O,185.7387508,1.863039059,8119.361322,31.47626749,5104.807469,3235.478531,639.6499118,208.5578776,174.0244059
O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])n1[N+](=O)[O-],185.6966936,1.938885302,9188.343102,41.20207075,6396.316019,4225.60749,660.7676865,102.3771121,159.8016082
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)n1[N+](=O)[O-],185.5989056,1.880298624,8425.422969,33.27202274,6132.918457,3563.698286,593.9546285,449.4535413,163.4355373
Nc1c2c([N+](=O)[O-])nc([N+](=O)[O-])nc2nn1[N+](=O)[O-],185.5840035,1.892270541,8585.806805,33.56956653,5822.055285,3711.24552,630.3686806,305.1480685,203.2975046
Nc1nc([N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2[N+](=O)[O-],185.5736263,1.887468752,8502.330817,33.53063184,5708.384865,3650.701977,628.0300758,296.4523846,185.679364
Nc1nc2c([N+](=O)[O-])nc([N+](=O)[O-])n2c(=O)n1[N+](=O)[O-],185.557238,1.887805805,8169.153697,32.65835456,4795.49283,3239.28105,628.9431227,27.82792222,171.2197634
Nn1nc([N+](=O)[O-])c2nn(C=N[N+](=O)[O-])nc2c1=NC=N[N+](=O)[O-],185.5451764,1.794250112,8087.589047,29.79513869,5579.397544,3724.547315,669.2572957,500.3975875,182.2077635
O=[N+]([O-])N=Cc1c([N+](=O)[O-])c2nnn(C=N[N+](=O)[O-])nc-2c1[N+](=O)[O-],185.536107,1.845369774,8228.835259,31.38108622,6285.14477,3679.791171,599.3565492,598.6617524,170.325468
O=c1[nH]c([N+](=O)[O-])nn1C=N[N+](=O)[O-],185.5173804,1.849643587,8036.049613,31.06119489,5083.928262,3401.908649,662.7912048,11.89810804,156.1449426
Nn1c([N+](=O)[O-])nc(=O)c2c1nc([N+](=O)[O-])n2N[N+](=O)[O-],185.4604475,1.87718221,8276.724177,32.75871814,5550.41865,3635.900254,651.7746534,154.5733301,139.3126481
O=[N+]([O-])NN=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2N[N+](=O)[O-],185.4456445,1.90207737,8828.80492,35.96044517,5751.827683,3764.032548,665.119535,351.0918011,131.9804022
NN=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],185.4265546,1.894978391,8308.69589,32.48715241,5537.036039,3587.321144,671.2886563,14.64149416,156.5696458
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1[N+](=O)[O-],185.4118706,1.907651204,8239.465521,33.14735567,4991.629486,3218.012461,619.4315957,43.68143181,151.7347629
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1[N+](=O)[O-],185.4118706,1.907651204,8239.465521,33.14735567,4991.629486,3218.012461,619.4315957,43.68143181,151.7347629
Nc1c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2nnc([N+](=O)[O-])n12,185.3791667,1.853702904,8181.822901,31.32609813,5576.650015,3527.17527,645.0430932,377.9296425,183.7357072
Nc1c([N+](=O)[O-])nn2c(=O)n(C=N[N+](=O)[O-])nc([N+](=O)[O-])c12,185.3629171,1.877893192,8247.764351,31.82439296,5350.681487,3272.055161,636.1998485,175.2956629,185.7633596
NN=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n(N)c(=O)n1N[N+](=O)[O-],185.3249883,1.853767798,8235.564949,32.18841153,5317.395832,3661.376862,695.1801388,222.1804741,126.8105935
Nc1nn(N[N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c12,185.3185875,1.882188009,8262.573126,32.62067665,5219.032072,3707.902217,700.0069479,288.0692795,201.3534054
NN1NC(=C(C=N[N+](=O)[O-])[N+](=O)[O-])N=C1[N+](=O)[O-],185.216823,1.824940542,8306.601482,31.6456109,5532.883184,3760.887215,693.5393991,218.4878387,190.0383215
Nc1c([N+](=O)[O-])[nH]c(=NN[N+](=O)[O-])n1[N+](=O)[O-],185.199695,1.883958994,8584.404369,35.97912639,5417.561067,3941.070103,706.717948,118.8651146,159.612932
NN=c1c2nc([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],185.1614094,1.936960486,8316.294261,33.89920518,4933.446876,3367.570519,652.814253,120.850857,167.461408
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])cn12,185.1432311,1.894617188,8439.585538,32.49823496,5844.218619,3483.863001,609.5460442,130.9355881,168.3651479
NN=c1oc([N+](=O)[O-])nn1N[N+](=O)[O-],185.1113264,1.876108324,8863.543618,36.20995495,6182.03072,4353.964509,713.0003348,180.2787574,131.044915
Nc1c(N)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])n(N)c1=O,185.0900039,1.812325321,8046.066404,29.34943605,4585.795204,3525.442478,763.1247878,99.45466345,152.5539104
O=[N+]([O-])Nn1nnc2cc([N+](=O)[O-])c([N+](=O)[O-])c-2n1,185.0234071,1.859973151,8486.789151,31.81368217,6296.124495,3834.686264,610.9632605,437.3822912,170.2313375
Nc1nn(N[N+](=O)[O-])c2nnc3n(C=N[N+](=O)[O-])nc([N+](=O)[O-])n1-n32,184.9815678,1.859651679,8337.338979,32.68375624,5872.309843,3866.662089,677.8156233,731.7371488,149.1860874
O=[N+]([O-])Nn1nc([N+](=O)[O-])n2nccc12,184.97269,1.785738278,8039.966855,29.31372944,5813.376656,3782.674634,655.1408297,304.848286,154.5388064
O=[N+]([O-])Nn1nc([N+](=O)[O-])n2ncnc12,184.9635017,1.865768493,8380.746892,34.43530581,5902.460071,4049.547778,676.7817051,410.8928512,150.0173327
Nn1nc(C=N[N+](=O)[O-])c(=O)nc1[N+](=O)[O-],184.9509975,1.803539883,8035.714387,29.5370497,5426.83377,3576.915644,680.0226504,66.81689715,161.5878433
Nc1nc2n(N[N+](=O)[O-])nc([N+](=O)[O-])n2n1,184.9303487,1.834026628,8587.342907,36.19987511,5415.924349,3819.850359,712.7001037,383.9041225,158.9023591
NN=c1c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n(N)c(=O)n1N[N+](=O)[O-],184.9183795,1.84020577,8212.078169,31.53487757,5193.171334,3623.249032,692.5944179,199.5472854,128.621579
NN=c1c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n(N)c(=O)n1N[N+](=O)[O-],184.9183795,1.84020577,8212.078169,31.53487757,5193.171334,3623.249032,692.5944179,199.5472854,128.621579
Nn1c(C=N[N+](=O)[O-])nnc1[N+](=O)[O-],184.9182276,1.763049763,8201.022963,30.9850717,5510.14748,3896.500738,704.0861486,310.1343367,149.8801197
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c1=O,184.8729468,1.900118969,8799.885709,37.61856649,5943.498018,4007.745712,683.3862265,116.5303631,120.381742
NN=c1c2nc([N+](=O)[O-])[nH]c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],184.8205255,1.873078279,8387.615705,32.99912009,5251.22541,3471.670181,681.0018798,177.8400832,141.1761956
Nc1nnc2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n12,184.8089394,1.820841855,8021.385113,29.96335832,5469.174336,3479.350702,637.845164,361.1389539,176.4532625
Nn1c(C=N[N+](=O)[O-])c([N+](=O)[O-])[nH]c1=NN[N+](=O)[O-],184.7640748,1.827256062,8351.159653,32.57539324,5387.344661,3831.828628,713.4541515,189.7997125,147.2151524
NC1=NC(=C(N)[N+](=O)[O-])NN1N[N+](=O)[O-],184.7114024,1.820186692,8048.227192,28.85965563,4678.16887,3485.977896,749.6814919,157.7256547,204.2625398
Nc1noc2c([N+](=O)[O-])n(N[N+](=O)[O-])nc12,184.7062369,1.839474361,8216.214248,31.03056315,5812.650685,3811.792007,654.2160353,220.9548064,147.6094974
NN=c1c2[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],184.7018442,1.952984671,8449.134952,34.5553499,5214.214993,3376.113418,653.588177,119.0501026,159.6093012
Nc1nn(N)c(=O)c2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],184.694096,1.81361963,8075.661221,29.78156134,5134.131773,3552.517287,688.783715,163.2372091,174.6383825
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c(=N[N+](=O)[O-])[nH]c1=O,184.6838574,1.909687045,8493.647962,34.96689771,5203.676963,3688.324304,658.39435,-36.95553866,156.9830636
O=[N+]([O-])c1c2oncc2nn1[N+](=O)[O-],184.6818494,1.857327411,8354.538592,32.24234576,6560.016634,3983.498834,590.7901354,280.3815927,159.7430745
Nn1c(N[N+](=O)[O-])c([N+](=O)[O-])n(N)c1=NN[N+](=O)[O-],184.6235954,1.832667027,8508.471285,34.27264024,5615.948842,3999.661724,735.1468367,228.498865,126.2636377
Nc1nc([N+](=O)[O-])n2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c12,184.6196915,1.907159344,8479.654218,33.63299911,5541.624935,3459.077047,629.2918118,131.9871733,193.2273946
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c(=N[N+](=O)[O-])n(N)c1=O,184.5847418,1.886285649,8471.144432,34.52904784,5406.47237,3718.424505,673.9330874,1.129235401,147.2221383
N=c1[nH]c([N+](=O)[O-])nc2c1n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],184.5787506,1.869127927,8289.928046,32.27249662,4995.297546,3291.002848,655.0523986,78.78468023,125.9219171
NN=c1[nH]c([N+](=O)[O-])nc2c1n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],184.5186536,1.873873173,8303.581107,32.89680227,5104.206825,3437.348734,679.4265336,151.4143878,134.4034516
NN1N=C([N+](=O)[O-])N(N)N=C1N[N+](=O)[O-],184.5095644,1.8549184,8807.517117,35.23820253,5401.517433,4038.815923,777.4831854,362.3309598,189.3465704
O=c1[nH]c2c(=NN[N+](=O)[O-])[nH]c([N+](=O)[O-])nc2n1N[N+](=O)[O-],184.4995637,1.873747433,8253.162834,31.75245961,5040.019906,3291.562778,667.5248301,81.79070943,139.5795848
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2nocc21,184.4847674,1.815753699,8081.278541,30.24021891,5981.745794,3858.812896,625.3956947,218.8534592,124.3896205
Nc1nc2n(N[N+](=O)[O-])c([N+](=O)[O-])nn2c(=O)c1[N+](=O)[O-],184.4171269,1.877855521,8327.978092,32.97675037,5378.725638,3472.183518,643.0362079,138.4382869,166.7492806
Nc1nc([N+](=O)[O-])c2c(n1)nc([N+](=O)[O-])n2[N+](=O)[O-],184.3962799,1.876486773,8528.089017,34.33737394,5467.387074,3563.75668,634.9114753,286.1760142,188.3617212
N=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2[nH]c(=O)n1[N+](=O)[O-],184.3834851,1.908514679,8209.262689,32.85679325,4929.275222,3122.373398,619.7169722,57.43354356,153.1224158
NC1=NNC(N[N+](=O)[O-])=NN1N,184.3595401,1.752804598,8084.906021,27.75759512,4455.279296,3625.968619,861.9107549,336.7141943,221.0383484
Nn1c(=O)[nH]c2nc([N+](=O)[O-])n([N+](=O)[O-])c2c1=NN[N+](=O)[O-],184.3501471,1.873781091,8169.423151,32.5611696,4995.501735,3461.931022,663.7887925,86.79463573,148.8036785
Nn1c(=O)[nH]c2nc([N+](=O)[O-])n([N+](=O)[O-])c2c1=NN[N+](=O)[O-],184.3501471,1.873781091,8169.423151,32.5611696,4995.501735,3461.931022,663.7887925,86.79463573,148.8036785
NN=c1c2nc([N+](=O)[O-])n(N)c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],184.3143782,1.875043188,8193.706171,32.34565434,4960.299365,3493.436745,662.9812298,156.1387895,147.2426222
Nc1nc([N+](=O)[O-])c(N)c(=N[N+](=O)[O-])[nH]1,184.270009,1.8756712,8029.163221,29.69223597,4284.988095,3135.308349,700.2242739,-7.36123639,178.2488208
Nc1nc2c(=NN[N+](=O)[O-])[nH]c([N+](=O)[O-])nc2n1N[N+](=O)[O-],184.2433227,1.854115878,8183.275954,31.52603917,5006.429802,3459.261486,683.1797922,300.7450239,159.1158885
Nc1c([N+](=O)[O-])nc2nc([N+](=O)[O-])nn2c1C=N[N+](=O)[O-],184.2422064,1.867666338,8119.18704,31.29182905,5428.423721,3443.558321,640.604498,328.9941287,188.6097983
Nc1c([N+](=O)[O-])c2c(nc([N+](=O)[O-])n3nnnc23)n1N[N+](=O)[O-],184.2411165,1.889562654,8404.49555,32.73912802,5742.84598,3709.077419,635.2050189,503.2133617,188.6138195
Nc1nn(N[N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,184.237893,1.894934935,8796.06364,36.2643479,6190.827644,4057.737363,670.2043911,307.2190964,165.6745408
O=c1ncnc2n([N+](=O)[O-])c([N+](=O)[O-])nn12,184.2372919,1.893053178,8238.088242,32.58218362,5605.713122,3443.55181,618.5658288,158.2428377,192.2143517
Nc1nc2c([n-]o[n+]2=O)n(N[N+](=O)[O-])c1=O,184.2089213,1.841145455,8172.6563,28.87022489,5633.829411,3688.078419,650.8730627,204.9367862,145.5681221
O=[N+]([O-])N=Cn1nnc2c([N+](=O)[O-])nc([N+](=O)[O-])c([N+](=O)[O-])c21,184.1930416,1.869168707,8319.118227,33.39883163,6169.61556,3715.565445,596.5544208,450.5810259,182.0984898
Nc1nc2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)n2n1,184.1697242,1.895910846,8282.622166,32.58782124,4915.938768,3150.673664,655.2430248,118.1232044,207.7562985
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2[nH]c(=O)n1[N+](=O)[O-],184.1469946,1.914234607,8154.861402,32.66532399,4947.497225,3371.388399,644.0494209,112.0014498,159.7170563
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc12,184.1206518,1.880678988,8615.608335,35.37175064,6335.422253,3889.532337,611.2782459,445.0855428,179.3399974
Nn1c([N+](=O)[O-])nc2c(=O)n(N[N+](=O)[O-])c([N+](=O)[O-])nc21,184.1052676,1.870160742,8245.308043,32.26913383,5498.568638,3626.193852,650.3899317,157.5184844,145.1544692
N=c1[nH]c(C=N[N+](=O)[O-])c([N+](=O)[O-])n1[N+](=O)[O-],184.1010136,1.816606726,8278.439107,32.16339865,5556.341955,3616.463137,657.0425138,123.7232519,159.4032061
NN1C=NC(=C([N+](=O)[O-])[N+](=O)[O-])N1N,184.0576947,1.853061733,8417.328124,31.87061256,5586.411791,3834.89339,738.8381987,230.5369064,135.1725655
O=c1c2cn[nH]c2nc2n(N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,184.0517629,1.890323455,8000.775947,29.61953184,5114.79422,3038.402525,617.4326162,209.691237,186.8765098
O=[N+]([O-])Nn1nnc2c([N+](=O)[O-])cc([N+](=O)[O-])nc21,184.0345754,1.852287483,8285.470077,30.78541033,6111.861654,3725.355266,614.7971796,327.9900482,145.2732857
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,184.0136558,1.904714867,8696.550421,36.85068404,6470.917323,3960.683114,626.7530168,737.8993179,161.7371283
Nc1nnc2nc([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,184.0056961,1.863919526,8252.452069,32.14445994,5663.77056,3607.45563,641.6714327,377.8666405,191.673889
O=[N+]([O-])c1cc2n([N+](=O)[O-])nnn2n1,183.8880916,1.868262933,8619.992651,33.46447083,6480.885275,4161.391136,633.056878,442.4381114,167.6158747
NN=C1N=C2N(N)C([N+](=O)[O-])=C([N+](=O)[O-])N2C1=NN[N+](=O)[O-],183.882609,1.84022775,8285.003306,31.52111947,5320.2748,3496.504864,673.9403552,446.0135551,209.3190709
Nc1c([N+](=O)[O-])nn2c(N[N+](=O)[O-])nnc2c1[N+](=O)[O-],183.8822391,1.842985564,8321.298413,32.82221552,5453.568423,3663.12115,661.416645,374.2968353,164.0388769
Nn1nnc2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c21,183.8752439,1.869309848,8475.652715,32.89936187,5623.458889,3731.846954,657.4213697,232.265239,184.9097342
O=[N+]([O-])c1ncnc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],183.8692527,1.883483367,8491.928788,33.63842528,6229.867721,3924.983308,598.9045093,368.0023486,190.8783962
Nc1c([N+](=O)[O-])c(=O)n([N+](=O)[O-])c2nnc(C=N[N+](=O)[O-])n12,183.8656461,1.83940144,8108.26156,30.70925985,5393.033516,3329.251433,639.0515823,254.8907298,160.458028
N=c1n(N)c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n1[N+](=O)[O-],183.8275851,1.891941766,8538.779292,34.72389524,5585.602067,3784.833172,649.8196389,30.71562867,139.210229
NN=c1c(N)c([N+](=O)[O-])nc([N+](=O)[O-])n1C=N[N+](=O)[O-],183.8221884,1.833088136,8029.773055,28.9674917,4994.364178,3459.286818,680.8171053,201.6496455,177.0898746
Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c(=O)n12,183.8196717,1.904808648,8525.154116,34.48448746,5378.548043,3420.410447,627.5939242,133.1755666,203.4397596
Nn1nc([N+](=O)[O-])c2nnn(N[N+](=O)[O-])c(=O)c21,183.792206,1.859618419,8485.689208,32.24609053,5877.060286,4069.879013,682.799632,279.8159596,153.8294793
Nc1nnc2n([N+](=O)[O-])c(=O)c([N+](=O)[O-])c([N+](=O)[O-])n12,183.7801774,1.905573643,8607.616543,35.53524668,5564.071779,3545.698228,631.4733865,178.4863762,199.1342536
N=c1c2nc([N+](=O)[O-])nc(N)c2nc([N+](=O)[O-])n1[N+](=O)[O-],183.7349693,1.88862286,8082.660669,30.63935919,5050.716121,3151.097274,625.5503108,255.4101411,190.9634896
O=[N+]([O-])N=Cc1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],183.726501,1.857603185,8516.487325,35.18182294,6319.931426,3786.999645,600.6716473,461.8844358,159.9738392
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)n1C=N[N+](=O)[O-],183.7262566,1.837777706,8148.963413,30.64589719,5854.351328,3394.272279,591.1245846,425.7303787,169.0813066
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc(N)n1[N+](=O)[O-],183.7003498,1.861578121,8140.052021,32.05448996,4933.978286,3398.645104,657.376482,288.5815668,167.3097453
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n(N)c(=O)n1[N+](=O)[O-],183.6976812,1.86827349,8128.420322,31.87980907,5033.552047,3420.130584,635.3793877,108.2598748,130.9725344
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n(N)c(=O)n1[N+](=O)[O-],183.6976746,1.868273454,8128.420322,31.87980907,5033.552047,3420.130584,635.379396,108.2598748,130.9725344
Nc1nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])nc1-2,183.6953494,1.900195974,8364.923951,34.4230364,5672.891802,3724.978046,652.6143851,333.8070572,142.0670733
O=c1c2[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn1C=N[N+](=O)[O-],183.6639799,1.885673942,8057.686585,31.50241267,5296.832842,3360.812193,613.2106829,203.6100318,179.5096891
Nc1nn([N+](=O)[O-])c2c1c(N)nn2[N+](=O)[O-],183.6600232,1.859616394,8148.671832,31.99837299,5371.282228,3596.575451,676.5971276,265.3950686,203.9397338
NC1=C([N+](=O)[O-])C(=C2N=NN=N2)C(N[N+](=O)[O-])=C([N+](=O)[O-])N1N,183.622451,1.80494811,8242.293428,29.73444818,5278.007595,3503.020865,651.6235025,516.7551294,138.3330696
Nc1c([N+](=O)[O-])c(N[N+](=O)[O-])nc2nnc([N+](=O)[O-])n12,183.5990477,1.844298781,8280.77357,32.43556633,5425.619948,3647.297636,655.880412,329.0423086,166.545802
Nc1nn2c(=O)c([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],183.5930037,1.871323563,8201.833448,33.05541782,5097.379343,3203.866194,623.0352097,90.37245974,185.1141895
Nc1c([N+](=O)[O-])c(=O)n(N[N+](=O)[O-])c2nnnn12,183.5706704,1.880372159,8498.482379,32.64742549,5492.887119,3786.593329,680.2611218,282.5458405,159.8243006
Nn1nc([N+](=O)[O-])c2c1nc([N+](=O)[O-])n1c(=O)n([N+](=O)[O-])c(=O)n21,183.5478286,1.916517552,8444.858235,33.95148872,5332.208527,3374.469539,616.0239819,49.19322251,185.858141
Nn1nc2cnn(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1,183.5434161,1.797162009,8262.104233,30.93869522,5537.09534,4079.714206,735.3974156,460.3149923,158.2885386
Nn1c(=O)[nH]c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c1=NN[N+](=O)[O-],183.5051702,1.872490434,8129.821242,32.0969358,4955.877061,3454.969131,663.7673347,104.2545931,150.2643514
Nn1c(=O)[nH]c(=NN[N+](=O)[O-])c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],183.5041926,1.874689035,8167.473623,32.61115443,4971.208175,3457.708047,664.8362076,83.79583183,148.4448402
Nn1c(=O)[nH]c(=NN[N+](=O)[O-])c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],183.5041926,1.874689035,8167.473623,32.61115443,4971.208175,3457.708047,664.8362076,83.79583183,148.4448402
Nn1c([N+](=O)[O-])c([N+](=O)[O-])n(C=N[N+](=O)[O-])c1=NN[N+](=O)[O-],183.4844883,1.820780575,8509.389067,34.95687585,5852.745329,4109.319077,692.0633039,295.4879757,124.5366896
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nc2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nnn12,183.4728494,1.818801639,8268.638728,31.34541712,6040.918934,3687.493667,599.9777125,621.5313841,148.862756
