ID,DetoT(K),SMILES
ANTZCO,2714,[O-][N+](=O)N1CN(CN(CN(C1)C(=O)C)[N+](=O)[O-])C(=O)C
AOMOQU,1419,COc1cc([N+](=O)[O-])c2c(c1OC(=O)C)cccn2
AREJEO,1919,O/N=C/1\[C@@H](CCc2c1cccc2)[N+](=O)[O-]
ARIFUD,2012,OCCCn1c(C)ncc1[N+](=O)[O-]
ATOPOP,1244,Cc1cccc(c1/N=C/c1ccc(cc1)[N+](=O)[O-])C
ATUJIK,2419,[O-][N+](=O)c1ccc(c2c1non2)NCCN1CCOCC1
AVALEQ,1448,O=C1C=CN2[C@@H]([C@H]1C)C=Cc1c2cccc1[N+](=O)[O-]
AWUJIM,1484,COc1ccc(cc1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AWULAG,1487,COc1ccccc1/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AXAFIP,1224,O=C1Nc2cccc(c2C(=O)N2[C@@H]1CCC2)[N+](=O)[O-]
AYALOC,3684,[O-][N+](=O)OC[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42CO[N+](=O)[O-]
AYAMIX,1464,C=CCn1c(/C=C/C=C/N(C)C)nc2c1cc(cc2)[N+](=O)[O-]
AYECEM,1557,[O-][N+](=O)c1c(C(=O)N2CCOC2=O)n(nc1CC)C
AYUGUX01,1252,Cc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
AZAGAJ,1823,[O-][N+](=O)c1cc(ccc1N/N=C/1\C[C@H]2C[C@@H]1c1c2cccc1)[N+](=O)[O-]
AZAXEG,1861,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-]
AZILOM01,1678,O=C(c1ccco1)N/N=C/c1ccccc1[N+](=O)[O-]
AZIWUD,1095,O=C(/N=C/1\NCCN1c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
AZORUD,1009,[O-][N+](=O)c1ccc(cc1)/N=C/c1c2ccccc2cc2c1cccc2
BABBUB,3208,[O-][N+](=O)N=C1NCCN1
BABRIF,2785,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1
BAFGUL01,1927,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-]
BAFHAS,1937,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAFHEW,1930,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAJBUJ,1011,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC
BAKLII,2984,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O
BAKXOB,2300,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BALYAR,1439,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
BANFIG,2013,NNC(=O)c1cccc(c1)[N+](=O)[O-]
BANHOO01,1385,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
BAPXIB,1473,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,2118,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,1441,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,1799,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,1245,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,1985,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,1907,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,1929,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,2102,COc1cc(ccc1[N+](=O)[O-])N(C)C
