smiles,BDE_pred,D_pred
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,279,8950
Nc1c2[n-]o[n-]c-2c(N[N+](=O)[O-])[n+](=O)[n+]1=O,192,8949
O=[N+]([O-])c1nc2nnc([N+](=O)[O-])n2c([N+](=O)[O-])c1[N+](=O)[O-],219,8948
O=[N+]([O-])c1nn([N+](=O)[O-])c2cnn([N+](=O)[O-])c12,121,8947
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])nc([N+](=O)[O-])n2[N+](=O)[O-],170,8942
O=[N+]([O-])c1nn2c([N+](=O)[O-])n[nH]c2c1[N+](=O)[O-],260,8941
O=[N+]([O-])NN=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],138,8941
O=[N+]([O-])c1nc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n2n1,233,8938
O=c1c2c(nnn2N[N+](=O)[O-])nc([N+](=O)[O-])n1[N+](=O)[O-],121,8938
O=[N+]([O-])Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn2c1[N+](=O)[O-],128,8937
O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c12,188,8936
O=c1c2c(nnn2[N+](=O)[O-])nc([N+](=O)[O-])n1[N+](=O)[O-],126,8935
O=c1c2nnn([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],125,8935
O=[N+]([O-])c1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],244,8934
O=[N+]([O-])NN=c1c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],128,8932
O=[N+]([O-])c1nc([N+](=O)[O-])c2nnn([N+](=O)[O-])c2c1[N+](=O)[O-],187,8930
O=[N+]([O-])c1onc2nc([N+](=O)[O-])n([N+](=O)[O-])c12,199,8928
O=[N+]([O-])Nc1n[nH]c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,127,8927
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn12,221,8926
O=[N+]([O-])c1nc2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nnn2c1[N+](=O)[O-],209,8926
O=[N+]([O-])c1nc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n2n1,227,8918
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],177,8918
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],221,8916
O=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],135,8916
O=[N+]([O-])c1n[nH]c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],177,8911
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,197,8910
O=[N+]([O-])Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,128,8906
O=c1n(N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,160,8905
O=[N+]([O-])Nc1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],121,8905
O=[N+]([O-])Nc1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2c1[N+](=O)[O-],121,8902
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n1N[N+](=O)[O-],124,8900
O=c1c2c(nc([N+](=O)[O-])n1N[N+](=O)[O-])nc([N+](=O)[O-])n2[N+](=O)[O-],129,8898
Nc1nn([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,229,8897
O=[N+]([O-])Nc1nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc2c1[N+](=O)[O-],135,8897
O=[N+]([O-])Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])nn12,123,8897
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,175,8896
O=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],130,8893
O=c1c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,201,8888
O=[N+]([O-])c1nc([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-],178,8888
O=[N+]([O-])N=Cc1nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],128,8887
O=[N+]([O-])c1c([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,200,8886
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c12,142,8883
O=[N+]([O-])c1n[nH]c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,239,8881
Nn1c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=N[N+](=O)[O-])c21,143,8881
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])c(N[N+](=O)[O-])c12,124,8881
O=c1n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1N[N+](=O)[O-],123,8877
O=c1n([N+](=O)[O-])c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,182,8874
O=c1n([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,183,8872
O=c1nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])nn1[N+](=O)[O-],161,8872
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1N[N+](=O)[O-],146,8872
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,204,8870
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1,199,8870
Nc1nn2c(N[N+](=O)[O-])nn([N+](=O)[O-])c2c1[N+](=O)[O-],125,8870
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2c1[N+](=O)[O-],238,8869
N=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],126,8868
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],122,8868
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],122,8868
O=c1nc2n([N+](=O)[O-])nc([N+](=O)[O-])nc-2n1N[N+](=O)[O-],134,8866
NN=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],152,8861
O=[N+]([O-])Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n12,123,8860
O=c1nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,131,8858
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n(N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,143,8857
O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],128,8857
O=c1n(N[N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc([N+](=O)[O-])n12,136,8854
O=[N+]([O-])c1nn([N+](=O)[O-])c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,188,8852
O=[N+]([O-])c1nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc2c1[N+](=O)[O-],238,8851
Nn1nc([N+](=O)[O-])n2nc(N[N+](=O)[O-])c([N+](=O)[O-])c12,160,8843
Nn1nc(N[N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,134,8843
NN1c2nonc2N([N+](=O)[O-])c2nonc21,133,8843
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc12,277,8842
Nn1nc([N+](=O)[O-])n2c(N[N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,153,8841
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],143,8840
O=[N+]([O-])NN=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],158,8837
O=c1n(N[N+](=O)[O-])c([N+](=O)[O-])nc2nc([N+](=O)[O-])nn12,128,8837
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,165,8835
O=c1n(C=N[N+](=O)[O-])c2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],122,8834
O=[N+]([O-])c1nc2[nH]nc([N+](=O)[O-])n2n1,266,8833
O=[N+]([O-])c1cc2n([N+](=O)[O-])nc([N+](=O)[O-])n2n1,220,8832
O=[N+]([O-])c1nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],215,8830
O=[N+]([O-])Nc1nn2c([N+](=O)[O-])n[nH]c2c1[N+](=O)[O-],135,8828
O=[N+]([O-])Nc1nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,122,8828
O=[N+]([O-])c1nn2c([N+](=O)[O-])nc([N+](=O)[O-])c2o1,203,8826
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,157,8826
NN1c2nonc2N(N[N+](=O)[O-])c2nonc21,180,8824
NN=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],126,8822
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c([N+](=O)[O-])c([N+](=O)[O-])nc21,163,8821
N=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],123,8820
O=c1c2c([N+](=O)[O-])nc([N+](=O)[O-])n2nc([N+](=O)[O-])n1N[N+](=O)[O-],148,8819
O=[N+]([O-])c1cnn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,224,8817
O=[N+]([O-])NC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C([N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,135,8817
O=c1nc([N+](=O)[O-])nc2n(N[N+](=O)[O-])c([N+](=O)[O-])nn12,130,8815
N=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],195,8814
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])ncn1-n32,225,8813
