smiles,BDE_pred,D_pred
Nc1c([N+](=O)[O-])c(=O)n([N+](=O)[O-])c2nnnn12,205,8512
O=[N+]([O-])N=Cc1c([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,144,8512
O=c1c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])c(=O)n([N+](=O)[O-])n1C=N[N+](=O)[O-],133,8512
Nn1c(N[N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n2c1=O,126,8512
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n(N[N+](=O)[O-])c([N+](=O)[O-])c(N[N+](=O)[O-])n12,125,8512
Nc1c([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,194,8511
O=[N+]([O-])N=Cc1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],164,8511
NN1C([N+](=O)[O-])=C(N[N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C1[N+](=O)[O-],158,8511
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,155,8511
NN=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],146,8511
NC1=C([N+](=O)[O-])N([N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,127,8511
O=[N+]([O-])c1cc2c(nnn2[N+](=O)[O-])c([N+](=O)[O-])n1,191,8509
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],132,8509
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2ncc([N+](=O)[O-])n12,212,8508
NN=c1[nH]c([N+](=O)[O-])nc2c1nc(N[N+](=O)[O-])n2[N+](=O)[O-],138,8508
O=c1n([N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2n1[N+](=O)[O-],126,8508
O=c1[nH]c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n1[N+](=O)[O-],121,8508
O=[N+]([O-])c1nc2[nH]nnc2c([N+](=O)[O-])c1[N+](=O)[O-],224,8507
O=[N+]([O-])c1nc([N+](=O)[O-])c2cn([N+](=O)[O-])nc2n1,182,8507
O=[N+]([O-])N=CC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C([N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,139,8507
O=[N+]([O-])N=Cc1nc(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=N[N+](=O)[O-])c2n1,126,8507
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2cnn1[N+](=O)[O-],154,8506
O=c1c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],145,8506
NC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C(N[N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,157,8505
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c(N[N+](=O)[O-])c([N+](=O)[O-])nc21,124,8505
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn(N)c3nnc1n3-2,304,8504
O=[N+]([O-])c1n[nH]c2nnc3[nH]nc([N+](=O)[O-])n1-n23,287,8504
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])nn12,251,8504
Nc1nnc2c([N+](=O)[O-])c(N[N+](=O)[O-])nn2c1[N+](=O)[O-],165,8504
O=[N+]([O-])c1ncn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],233,8503
Nc1c([N+](=O)[O-])nc2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)n12,214,8503
O=[N+]([O-])c1ncnc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],202,8503
Nc1nc2c([N+](=O)[O-])nc([N+](=O)[O-])n(N[N+](=O)[O-])c-2n1,153,8502
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c(N[N+](=O)[O-])c2nnnn12,124,8502
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c2nnc(N[N+](=O)[O-])n2c1=O,123,8502
Nn1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nnc21,254,8501
NC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C(N[N+](=O)[O-])=C([N+](=O)[O-])N1N[N+](=O)[O-],130,8501
Nc1nc2c(c(=O)nc([N+](=O)[O-])n2[N+](=O)[O-])n1N[N+](=O)[O-],126,8501
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc([N+](=O)[O-])c21,126,8501
Nc1nnc2c(N[N+](=O)[O-])c([N+](=O)[O-])nn2c1[N+](=O)[O-],121,8501
Nn1nc([N+](=O)[O-])c2c(=O)n3c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c3nc21,218,8500
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)n12,209,8500
O=[N+]([O-])Nc1nc([N+](=O)[O-])c2[nH]nnc2c1[N+](=O)[O-],157,8500
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nc([N+](=O)[O-])c2nnn(N[N+](=O)[O-])c12,129,8500
O=[N+]([O-])N=CN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1[N+](=O)[O-],126,8500
Nn1nc2c([N+](=O)[O-])noc2c1[N+](=O)[O-],242,8499
O=c1[nH]c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,234,8499
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nc2c1nnn2[N+](=O)[O-],231,8499
O=[N+]([O-])c1nc2nc3nonc3nc2n1[N+](=O)[O-],219,8499
Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n12,211,8499
O=c1nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,151,8499
O=[N+]([O-])Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c2nn[nH]c12,136,8499
NN=c1c2n[nH]nc2c([N+](=O)[O-])nn1[N+](=O)[O-],190,8498
O=c1n(N[N+](=O)[O-])c2c(=NN[N+](=O)[O-])n(C=N[N+](=O)[O-])c(C=N[N+](=O)[O-])nc2n1[N+](=O)[O-],120,8498
O=[N+]([O-])c1nc([N+](=O)[O-])n2cnnc2c1[N+](=O)[O-],232,8497
Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c2nnn([N+](=O)[O-])c12,192,8497
Nc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])n([N+](=O)[O-])c12,177,8497
Nc1c([N+](=O)[O-])c(N[N+](=O)[O-])nn2c([N+](=O)[O-])nnc12,136,8497
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n([N+](=O)[O-])c1=O,127,8497
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n([N+](=O)[O-])c1=O,127,8497
Nc1c([N+](=O)[O-])nc2onc([N+](=O)[O-])n12,250,8496
O=[N+]([O-])c1nc2nn[nH]c2c([N+](=O)[O-])c1[N+](=O)[O-],243,8496
Nc1nc([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-],203,8496
O=[N+]([O-])N=Cc1nnn2nc([N+](=O)[O-])c([N+](=O)[O-])nc12,179,8496
O=[N+]([O-])NC1=CN(N[N+](=O)[O-])C([N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,125,8496
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2n1[N+](=O)[O-],121,8496
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c12,208,8495
NN1C([N+](=O)[O-])=C(N[N+](=O)[O-])C(=C2N=NN=N2)C(N[N+](=O)[O-])=C1[N+](=O)[O-],156,8495
Nc1nc(N[N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])nc1-2,155,8495
Nc1nc([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c([N+](=O)[O-])nc12,130,8495
Nc1nc([N+](=O)[O-])n([N+](=O)[O-])c2nc(N[N+](=O)[O-])nc1-2,128,8495
Nc1nc([N+](=O)[O-])c2oc([N+](=O)[O-])nn12,253,8494
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc(N)n1-n23,216,8494
Nc1nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,211,8494
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])nc21,158,8494
NC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C([N+](=O)[O-])N1N[N+](=O)[O-],127,8494
O=[N+]([O-])Nc1nnc2[nH]nc([N+](=O)[O-])c2n1,125,8494
Nn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n([N+](=O)[O-])c(=O)n(N[N+](=O)[O-])c21,123,8494
Nn1nc([N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n2c1=O,262,8493
O=[N+]([O-])c1nc2ncc([N+](=O)[O-])c([N+](=O)[O-])n2n1,256,8493
Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],204,8493
O=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],222,8492
O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn12,172,8492
Nn1c(=O)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],146,8492
Nn1c(=O)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],146,8492
O=c1c2c(c([N+](=O)[O-])nn1[N+](=O)[O-])c([N+](=O)[O-])nn2C=N[N+](=O)[O-],135,8492
O=c1cc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,202,8491
O=c1[nH]c(N[N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,127,8491
O=[N+]([O-])c1cc2nnc([N+](=O)[O-])n2nc1[N+](=O)[O-],244,8490
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c21,241,8490
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c(C=N[N+](=O)[O-])nc12,128,8490
O=c1n(C=N[N+](=O)[O-])c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],126,8490
O=c1n(C=N[N+](=O)[O-])c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],126,8490
O=c1n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],123,8490
O=c1n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],123,8490
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],199,8489
O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2nnc(N[N+](=O)[O-])n12,128,8489
Nc1nc([N+](=O)[O-])n2c(N[N+](=O)[O-])nnc2c1[N+](=O)[O-],122,8489
O=[N+]([O-])c1nc2nc([N+](=O)[O-])c([N+](=O)[O-])cn2n1,253,8488
O=[N+]([O-])c1nc([N+](=O)[O-])n([N+](=O)[O-])c2ncnc1-2,201,8488
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2c([N+](=O)[O-])cnn12,201,8488
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,180,8488
O=[N+]([O-])N=Cc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n12,164,8488
Nc1nc([N+](=O)[O-])n2c(=O)n(N[N+](=O)[O-])c([N+](=O)[O-])nc12,138,8488
O=c1[nH]c(=O)n(N[N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],129,8488
O=[N+]([O-])NN1c2nonc2-c2nonc2-c2nonc21,177,8487
Nc1nn([N+](=O)[O-])c2nnc3[nH]nc([N+](=O)[O-])n1-n32,254,8486
O=[N+]([O-])c1nc([N+](=O)[O-])c2ncn([N+](=O)[O-])c2n1,173,8486
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2c([N+](=O)[O-])nn1C=N[N+](=O)[O-],149,8486
NN=c1[nH]c(=O)n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,144,8486
NN=c1[nH]c(=O)n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,144,8486
O=c1nc(C=N[N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn12,144,8486
O=c1c2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c2nc2n(N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,140,8486
Nc1nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)[nH]c2n1[N+](=O)[O-],131,8486
O=[N+]([O-])Nn1c2ncnc-2c([N+](=O)[O-])nc1[N+](=O)[O-],129,8486
O=[N+]([O-])N=CN1C(N[N+](=O)[O-])=C([N+](=O)[O-])C(=C2N=NN=N2)C(N[N+](=O)[O-])=C1[N+](=O)[O-],120,8486
Nn1c(=O)c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n([N+](=O)[O-])c1=O,166,8485
Nn1c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n(N[N+](=O)[O-])c1=O,131,8485
O=c1n(C=N[N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c(=N[N+](=O)[O-])c2n1C=N[N+](=O)[O-],128,8485
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])nc2c1=N[N+](=O)[O-],127,8485
O=c1c2nc([N+](=O)[O-])nnc2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],127,8485
Nc1nn([N+](=O)[O-])c2nnn3c([N+](=O)[O-])c([N+](=O)[O-])nc3c12,207,8484
O=c1nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,205,8484
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,165,8484
Nc1c([N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])nc2n1N[N+](=O)[O-],159,8484
O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])n2nnnc2n1[N+](=O)[O-],138,8484
O=c1n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n1N[N+](=O)[O-],125,8484
O=c1n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],124,8484
O=c1n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],124,8484
Nc1nn2c(N[N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],120,8484
NN=c1[nH]c([N+](=O)[O-])nc2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],167,8483
Nn1c(=O)n(N[N+](=O)[O-])c2c(=NN[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc21,140,8483
Nc1nc(N[N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1[N+](=O)[O-],133,8483
Nc1nc2c(N[N+](=O)[O-])nc([N+](=O)[O-])n([N+](=O)[O-])c-2n1,122,8483
O=c1cnc2c([n-]o[n+]2=O)n1[N+](=O)[O-],121,8483
Nc1nn2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1N,251,8482
Nc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])nn12,241,8482
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nc2nnn([N+](=O)[O-])c12,213,8482
Nc1nc([N+](=O)[O-])n2c(=O)n([N+](=O)[O-])c([N+](=O)[O-])nc12,177,8482
Nc1nc([N+](=O)[O-])n2nc([N+](=O)[O-])n(N[N+](=O)[O-])c(=O)c12,159,8482
O=c1cc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1N[N+](=O)[O-],141,8482
O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1N[N+](=O)[O-],123,8482
Nc1nn2c(=O)c([N+](=O)[O-])c([N+](=O)[O-])nc2n1N[N+](=O)[O-],144,8481
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])n([N+](=O)[O-])c12,132,8481
O=[N+]([O-])N=Cc1nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],175,8480
Nn1nc2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc1=O,224,8479
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],172,8479
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2n1C=N[N+](=O)[O-],124,8479
Nc1c([N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-],213,8478
O=c1c2c(ncn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],147,8478
O=[N+]([O-])c1n[nH]c2[nH]nc([N+](=O)[O-])c12,217,8477
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])cnc2n1,193,8477
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2c1nnn1c([N+](=O)[O-])c([N+](=O)[O-])nc21,189,8477
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],168,8477
Nn1c([N+](=O)[O-])nc2c(c1=NN[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],167,8477
O=c1n(C=N[N+](=O)[O-])c2c(=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],125,8477
O=[N+]([O-])Nc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])[nH]c12,121,8477
O=[N+]([O-])c1nc([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c2n1,220,8476
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n([N+](=O)[O-])c2ncnn12,186,8476
Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])n(N[N+](=O)[O-])c3nc([N+](=O)[O-])n12,160,8476
Nc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)n1N[N+](=O)[O-],130,8476
O=c1[nH]c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1[N+](=O)[O-],125,8476
O=c1[nH]c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])n1[N+](=O)[O-],125,8476
O=c1[nH]nnc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,242,8475
O=[N+]([O-])N=Cc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2nnnn12,150,8475
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nc([N+](=O)[O-])c2c1nnn2[N+](=O)[O-],130,8475
NC1=N/C(=C2/C(N[N+](=O)[O-])=NO[N+]2=O)O[N-]1,125,8475
N=c1c2c(nc(N[N+](=O)[O-])n1[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],120,8475
Nn1nc([N+](=O)[O-])n2c(=O)c([N+](=O)[O-])c([N+](=O)[O-])nc12,256,8474
Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn(N)c12,218,8474
O=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1C=N[N+](=O)[O-],131,8474
Nn1nc([N+](=O)[O-])c2nn(C=N[N+](=O)[O-])nc2c1=N[N+](=O)[O-],127,8474
O=[N+]([O-])Nc1c([N+](=O)[O-])c([N+](=O)[O-])nc2nn[nH]c12,127,8474
NC1=C([N+](=O)[O-])N([N+](=O)[O-])C(N[N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,123,8474
Nc1nc2c([N+](=O)[O-])nc([N+](=O)[O-])nc2c(=N[N+](=O)[O-])n1[N+](=O)[O-],121,8474
O=c1cc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],171,8473
Nc1c([N+](=O)[O-])nc2nc(N[N+](=O)[O-])nn2c1[N+](=O)[O-],152,8473
Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N,300,8472
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])nc12,253,8472
O=[N+]([O-])N=CN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],154,8472
O=c1c2c([N+](=O)[O-])nc(C=N[N+](=O)[O-])n2nc([N+](=O)[O-])n1[N+](=O)[O-],126,8472
O=c1[nH]nc([N+](=O)[O-])c2nc([N+](=O)[O-])c(N[N+](=O)[O-])n12,123,8472
O=c1[nH]c2nnnn2c([N+](=O)[O-])c1[N+](=O)[O-],243,8471
Nc1nc2n([N+](=O)[O-])c([N+](=O)[O-])nn2c(=O)c1[N+](=O)[O-],236,8471
Nc1c([N+](=O)[O-])c2c(nc([N+](=O)[O-])n3nnnc23)n1[N+](=O)[O-],225,8471
O=c1n([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,160,8471
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2[nH]c([N+](=O)[O-])nc2n1N[N+](=O)[O-],146,8471
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2[nH]c([N+](=O)[O-])nc2n1N[N+](=O)[O-],146,8471
Nn1c(=O)c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n(N[N+](=O)[O-])c1=O,141,8471
O=[N+]([O-])NC1=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C([N+](=O)[O-])N1,138,8471
O=c1c2c(cnn2[N+](=O)[O-])nc([N+](=O)[O-])n1[N+](=O)[O-],133,8471
O=c1c2nn([N+](=O)[O-])c(C=N[N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],127,8471
Nn1c([N+](=O)[O-])nc2c1c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],123,8471
Nn1c([N+](=O)[O-])nc2c1c(=NN[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],123,8471
Nc1nc([N+](=O)[O-])c2nnn(N[N+](=O)[O-])c2c1[N+](=O)[O-],202,8470
O=[N+]([O-])N=CC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C(N[N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,124,8470
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n1N[N+](=O)[O-],122,8470
O=[N+]([O-])N=Cc1nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc2c1[N+](=O)[O-],211,8469
O=[N+]([O-])c1nc2cnc([N+](=O)[O-])n([N+](=O)[O-])c-2n1,175,8469
Nn1c(=O)n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=NN[N+](=O)[O-])c21,135,8469
NN=c1c2c(nc([N+](=O)[O-])n1C=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],121,8469
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],120,8469
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n1C=N[N+](=O)[O-],120,8469
O=c1n([N+](=O)[O-])c([N+](=O)[O-])nc2c([N+](=O)[O-])ncn12,193,8468
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])c([N+](=O)[O-])n12,153,8468
Nn1c(=O)n(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=N[N+](=O)[O-])c21,138,8468
O=[N+]([O-])N=Cc1c2c([N+](=O)[O-])nc([N+](=O)[O-])nc2nn1[N+](=O)[O-],136,8468
O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2c1c(C=N[N+](=O)[O-])nn2[N+](=O)[O-],122,8468
Nn1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c21,291,8467
Nc1onc2nc([N+](=O)[O-])n([N+](=O)[O-])c12,191,8467
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],152,8467
O=[N+]([O-])N=Cc1c([N+](=O)[O-])c2c(nc([N+](=O)[O-])n3nnnc23)n1[N+](=O)[O-],150,8467
NN=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],127,8467
O=c1[nH]c2nnnn2c(N[N+](=O)[O-])c1[N+](=O)[O-],125,8467
O=[N+]([O-])c1nc([N+](=O)[O-])c2cnn([N+](=O)[O-])c2n1,165,8466
NN=c1c2nc(N)n([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],128,8466
O=[N+]([O-])c1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])cnc23)n1[N+](=O)[O-],209,8465
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c21,196,8465
O=[N+]([O-])Nc1nc([N+](=O)[O-])c2nn[nH]c2c1[N+](=O)[O-],154,8465
Nc1nn(C=N[N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,144,8465
O=c1c2c(nc(C=N[N+](=O)[O-])n1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],142,8465
